연도,가수,앨범,제목,작사,가사
2014,방탄소년단,DARK&WILD,24/7=Heaven,"Slow Rabbit,RM,j-hope,SUGA,PDOGG","너와의 첫 데이트, 자꾸만 애처럼 설레 요즘 난 Sunday 너라는 해가 뜬 Sunday 너와의 첫 데이트 자꾸만 애처럼 설레 요즘 난 Sunday 너라는 해가 뜬 Sunday 24/7 하루 종일 니 생각만 했지 기대했던 첫 데이트 내게는 왠지 특별한 날이 될듯해 I can be a gentleman Cause I'm your boyfreind 흠흠 고민 끝에 밤을 꼴딱 새워버렸지만 아침 해조차 깨지 않은 시간 하루가 왜 이렇게 긴 지 초침이 괜히 밉지 너랑 사귀게 된 뒤부터 매일 Up된 Feeling All night girl I think about you all night girl 내일이면 그댈 보게 돼 And I don't know what to say 너를 만나는 Sunday 기다려왔던 Sunday (How we do how we do how we do uh yeah) 시간아 조금만 빨리 달려줘 너를 만나는 Sunday 상상만 했던 Someday 오늘은 한숨도 못 잘 것 같아 너와의 첫 데이트, 자꾸만 애처럼 설레 요즘 난 Sunday 너라는 해가 뜬 Sunday 너와의 첫 데이트 자꾸만 애처럼 설레 요즘 난 Sunday 너라는 해가 뜬 Sunday 너와의 첫 데이트, 자꾸만 애처럼 설레 요즘 난 Sunday 너라는 해가 뜬 Sunday 너와의 첫 데이트 자꾸만 애처럼 설레 요즘 난 Sunday 너라는 해가 뜬 Sunday 내일은 꿈꾸던 데이트 날 참 예쁜 별과 예쁜 달 날 비추는 빛, 오늘따라 더 모든 세상이 날 위한 것 같아 right? 오늘 밤만큼은 Plan Man 널 위해서야 달링 만약 시간이 너란 주식이라면 투자를 하지 너와 입을 옷 choice 옷장을 포위 내 맘은 noise 흥에 나는 콧소리 니 생각만 가득했지 하루죙일 오늘 밤까지 니 환상에 잠 못 이루겠지 홀로 All night girl I think about you all night girl 내일이면 그댈 보게 돼 And I don't know what to say 너를 만나는 Sunday 기다려왔던 Sunday (How we do how we do how we do uh yeah) 시간아 조금만 빨리 달려줘 너를 만나는 Sunday 상상만 했던 Someday 오늘은 한숨도 못 잘 것 같아 자꾸 거울을 보고 괜히 심장이 뛰어 I don't wanna say no more Feel like I don't wanna say no more (I know) Oh 넌 (I know) 만들어 내 매일을 영화처럼 요즘엔 난 늘 Sunday 하루하루 또 Sunday (How we do how we do how we do uh yeah) 하루에 몇 번씩 절로 미소가 상상만 했던 Someday 이제는 아냐 Someday 괜히 난 웃고 있을 것만 같아 너와의 첫 데이트 자꾸만 애처럼 설레 요즘 난 Sunday 너라는 해가 뜬 Sunday 너와의 첫 데이트 자꾸만 애처럼 설레 요즘 난 Sunday 너라는 해가 뜬 Sunday"
2014,방탄소년단,DARK&WILD,여기 봐,"RM,j-hope,SUGA,PDOGG,이호형","처음에는 단지 호기심으로 시작해 네게 관심을 보이지 Holy shhh 그래 니가 날 도외시해도 내게 빠져드는 시간 for a minute 제법 우린 어울리지 니가 없는 나는 빛을 잃은 Seoul city 호시탐탐 너의 빈자리를 노려 토끼굴 그래피티 너 없는 하루란 단막극은 tragedy 우리 만남은 우연이 아니야 너를 만난 건 내 바램이었어 너는 꽃이고 나는 벌이야 너는 꿀이고 나는 곰이야 어쩌면 책 읽듯이 말이 술술 나올까 어딘지 모르게 넌 나를 닮은 것 같아 너무 예뻐 넌 느낌이 좀 나 매력이 터져 이제 내게 줘봐 여기 봐 도망가지 마 여기 봐 도망가지 마 여기 봐 도망가지 마 조만간 니가 날 원할 테니까 외롭다고 징징댈 땐 이미 늦었어 니 아리따운 매력 내가 알아버렸어 Baby come on 처음엔 열 번 문자에 한 번 답장하던 너 나중엔 먼저 전화해 하루종일 나만 찾아대 여기 봐 도망가지마 여기 봐 도망가지마 여기 봐 도망가지마 여기 봐 나란 남자 너에게 다가간 재주 인정해줘 널 위해 달린 내 계주 에츄, 재채기 같은 말을 해도 Bless you 지루하면 내 모습 매주 debut 한 듯이 널 향해 가 줄게 뭘 바래? 너도 나와 함께 사랑의 바다 항해 넌 도둑 난 경찰 훔친 값은 해 너 없으면 외로운 도시 속의 나그네 너를 원해 우리 만남은 우연이 아니야 너를 만난 건 내 바램이었어 너는 꽃이고 나는 벌이야 너는 꿀이고 나는 곰이야 어쩌면 책 읽듯이 말이 술술 나올까 어딘지 모르게 넌 나를 닮은 것 같아 너무 예뻐 넌 느낌이 좀 나 매력이 터져 이제 내게 줘봐 여기 봐 도망가지 마 여기 봐 도망가지 마 여기 봐 도망가지 마 조만간 니가 날 원할 테니까 외롭다고 징징댈 땐 이미 늦었어 니 아리따운 매력 내가 알아버렸어 Baby come on Love your 알렉산더 왕 love your 이자벨 마랑 Baby 고만 튕겨대, C'mon show me what you got You sexy girl 나한텐 그게 중요해 (넌 내 이상형 충족) 우리 결혼해 내 일상에 피쳐링 중인 너 몸무겐 99킬로 널 떨칠 수 없어 너무 미워 오늘도 이렇게 운 띄워 너는 귀티 아님 pretty, 혹은 진리 아님 이치 Yo my genie 람보르기니 be my teenie weenie mini 넌 비키니와 마티니, 또 Mercedes 참 멋지지 너무 이미 니가 지치니 stop that eenie menie miny 여기서 날 제발 꺼내줘 Let me switch your mind 제발 변해줘 아 거기 서 봐 let me walk with ya 우쭈쭈 그랬쪄 해줘 Get it? 여기 봐 도망가지 마 여기 봐 도망가지 마 여기 봐 도망가지 마 조만간 니가 날 원할 테니까 외롭다고 징징댈 땐 이미 늦었어 니 아리따운 매력 내가 알아버렸어 Baby come on 처음엔 열 번 문자에 한 번 답장하던 너 나중엔 먼저 전화해 하루종일 나만 찾아대 여기 봐 도망가지 마 여기 봐 도망가지 마 여기 봐 도망가지 마 여기 봐"
2014,방탄소년단,DARK&WILD,2학년,"Supreme Boi,RM,j-hope,SUGA,PDOGG","눈 깜짝할 새 2학년이 돼 또 방아쇠를 당겨 Cause time flowing fast (Still everyday) Bang it bang it, bang it bang it (Still everyday) Bang it bang it, bang it bang it 눈 깜짝할 새 2학년이 돼 꿈만 좇던 내가 이젠 무대에 불을 내 (Still everyday) Bang it bang it, bang it bang it (Still everyday) Bang it bang it, bang it bang it 난 별로 달라진 게 없어 baby 가요계 2학년 아직 181 baby 마음의 키만 컸으 나름 학년 1등 Baby 받았어 신인상도 복도를 돌아다니다 보면 받아 새 후배들 인사도 이젠 좀 알 것 같애 리허설도 능숙하게 1년 후배도 생기고 이젠 좀 나도 나가는 거 같애 Ahhh 쉿 어.. 근데 눈앞에 5 6년차 선배들 (안녕하세요!) 그제야 느끼지 아직 멀기만 한 현재를 대중 선생님들은 작년까진 부담 안 줘 겨우 1학년 신인이라며 괜찮다며 나를 앉혀놓고 세상이 얼마나 차가운지 몇 가지 과목으로 알려줬지 선입견, 악플, 이중잣대, 욕설 그리고 무관심 선생님 여기도 수능이 있나요 1등하면 성공한 가수인가요 그런 것도 좋지만 음악이 하고 싶어요 일단 내 하고픈 대로 할게 날 좀 냅둬여 Work it out work it out 24시간 Burn it up burn it up 불태워 매 순간 이런저런 고민들은 뒤로 1년이 넘어가도 우리들은 오늘을 살어 눈 깜짝할 새 2학년이 돼 또 방아쇠를 당겨 Cause time flowing fast (Still everyday) Bang it bang it, bang it bang it (Still everyday) Bang it bang it, bang it bang it 눈 깜짝할 새 2학년이 돼 꿈만 좇던 내가 이젠 무대에 불을 내 (Still everyday) Bang it bang it, bang it bang it (Still everyday) Bang it bang it, bang it bang it 아 벌써 내가 2학년이 돼 (Oh no!) 눈 깜빡 할 새 시간은 빠르게 (Go go) 공부도 열심히 놀기도 열심히 Right 그렇게 1년이 기적이 이뤄진 것처럼 Bye 근데 어떡해? 괜시리 걱정돼 눈칫밥은 덜 먹겠지만 배울 과목은 진수성찬인데 쉴 때다 싶음 선생님이 말하지 잔소린 빵빵빵 ""수능은 잘 봐야지!"" 무슨 수능은 수능 선생님 우리도 사람이에요. 수긍해 수긍 오늘은 다 때려치고 후배들 놀리러나 가 볼까? 오늘 나 PC방으로 잠 못 자 Work it out work it out 24시간 Burn it up burn it up 불태워 매 순간 이런저런 고민들은 뒤로 1년이 넘어가도 우리들은 오늘을 살어 눈 깜짝할 새 2학년이 돼 또 방아쇠를 당겨 Cause time flowing fast (Still everyday) Bang it bang it, bang it bang it (Still everyday) Bang it bang it, bang it bang it 눈 깜짝할 새 2학년이 돼 꿈만 좇던 내가 이젠 무대에 불을 내 (Still everyday) Bang it bang it, bang it bang it (Still everyday) Bang it bang it, bang it bang it 2년차 랩퍼 점수를 매겨보자면 다행히 선방은 했어 아직은 애송이, 계속해서 달려와서 고작 2학년이 됐어 이상과 현실 사이의 걸리버 눈치 따윈 보지 않어 꼴리는 대로 막 나갈 겨 색안경 낀 꼰대들 내 앞으로 줄 맞춰 돌이켜보면 완전 피 말려 닥쳐 이제 난 2학년 이건 새 시대 시발점 꼭꼭 숨어라 내 잔머리가 다 보일라 선배든 후배든 선생이든 Get the out 눈 깜짝할 새 2학년이 돼 또 방아쇠를 당겨 Cause time flowing fast (Still everyday) Bang it bang it, bang it bang it (Still everyday) Bang it bang it, bang it bang it 눈 깜짝할 새 2학년이 돼 꿈만 좇던 내가 이젠 무대에 불을 내 (Still everyday) Bang it bang it, bang it bang it (Still everyday) Bang it bang it, bang it bang it"
2014,방탄소년단,DARK&WILD,Outro : 그게 말이 돼?,"Supreme Boi,Simo","I rewind my girl baby come back to my world I rewind my girl come back I rewind my girl baby come back to my world I rewind my girl come back 그게 말이 돼? 너 그게 말이 돼? 그렇게 쉽게 우리 사랑이 변한다는 게 아무도 모르게 괜찮아 보이게 널 만나다가도 니 표정 하나에 지금 울고 있어 Explain it, explain it, explain it girl My baby explain it, explain it 니가 죽을 만큼 밉지만 지금도 니 생각이 나는 걸 Love is not over, it doesn't make sense Story is not over, it doesn't make sense Talk is not over, it doesn't make sense still Problem is not over, it doesn't make sense 내 숨이 터질듯한 너의 그 눈빛 날 잡던 너의 손가락, 그 하얀 손가락 그땐 영원할 것만 같았었는데 시간이 갈수록 넌 더 달라졌어 너무 차가워진 니 말투와 표정 우리 관계는 계속 제자리를 돌고 도는데 난 말은 안 하지만 다 알고 있어 니 마음 안에 더 이상 내 자리가 없단 걸 그게 말이 돼? 너 그게 말이 돼? 그렇게 쉽게 우리 사랑이 변한다는 게 아무도 모르게 괜찮아 보이게 널 만나다가도 니 표정 하나에 지금 울고 있어 Explain it, explain it, explain it girl My baby explain it, explain it 니가 죽을 만큼 밉지만 지금도 니 생각이 나는걸 I rewind my girl baby come back to my world I rewind my girl come back I rewind my girl baby come back to my world I rewind my girl come back"
2015,방탄소년단,화양연화 pt.1,Intro : 화양연화,"Slow Rabbit,SUGA",오늘따라 림이 멀어보여 코트 위에 한숨이 고여 현실이 두려운 소년 공을 던질 때면 유일하게 맘이 되려 놓여 홀로 던지는 공 림을 향해서 내가 던지는 건 수많은 고민과 삶의 걱정거리 세상을 아는 척 하지만 아직 설익은 몸 슛 코트가 나의 놀이터 손짓에 따라서 발 옆엔 작은 공이 튀어 성적은 바닥을 기지만 난 더 오히려 세상에 다 잘 될 거라며 괜시리 소리쳐 하지만 세상은 되려 겁줘 그럴 거면 멈춰 머리를 채운 상념 공 대신 미래를 던져 또 남들이 칠하는 별점과 성공의 기준에 결격 덕에 암처럼 퍼지는 걱정 god damn it 던져버린 공과 함께 퍼진 웃음 턱까지 차오른 이 숨은 꿈틀대는 꿈들 빨라지는 드리블 행복해지는 마음 이 순간은 영원할 듯 하지만 해지는 밤이 다시 찾아오면 좀먹는 현실 정신을 차리면 또 겁먹은 병신 같은 내 모습에 자꾸만 또 겁이 나 덮쳐오는 현실감 남들은 앞서 달려 가는데 왜 난 아직 여기 있나 숨을 쉬어 아니면 꿈을 꿔 지금 심장박동에 맞춰 다시 노를 저어 남들의 얄팍한 잣대에 갇혀 모른 척 하며 살다간 코트처럼 인생도 노을 져 What am i doin' with my life 이 순간은 언제든 다시 찾아오지 않아 다시 나에게 되물어봐 지금 행복한가 그 답은 이미 정해졌어 난 행복하다
2015,방탄소년단,화양연화 pt.1,I NEED U,"PDOGG,방시혁,RM,SUGA,j-hope,브라더수 (Brothersu)","Fall Fall Fall 흩어지네 Fall Fall Fall 떨어지네 너 땜에 나 이렇게 망가져 그만할래 이제 너 안 가져 못하겠어 뭣 같아서 제발 핑계 같은 건 삼가줘 니가 나한테 이럼 안 돼 니가 한 모든 말은 안대 진실을 가리고 날 찢어 날 찍어 나 미쳐 다 싫어 전부 가져가 난 니가 그냥 미워 But you're my everything (You're my) Everything (You're my) Everything (You're my) 제발 좀 꺼져 huh 미안해 (I hate u) 사랑해 (I hate u) 용서해 I need you girl 왜 혼자 사랑하고 혼자서만 이별해 I need you girl 왜 다칠 걸 알면서 자꾸 니가 필요해 I need you girl 넌 아름다워 I need you girl 너무 차가워 I need you girl (I need you girl) I need you girl (I need you girl) It goes round & round 나 왜 자꾸 돌아오지 I go down & down 이쯤 되면 내가 바보지 나 무슨 짓을 해봐도 어쩔 수가 없다고 분명 내 심장, 내 마음, 내 가슴인데 왜 말을 안 듣냐고 또 혼잣말하네 (또 혼잣말하네) 또 혼잣말하네 (또 혼잣말하네) 넌 아무 말 안 해 아 제발 내가 잘할게 하늘은 또 파랗게 (하늘은 또 파랗게) 하늘이 파래서 햇살이 빛나서 내 눈물이 더 잘 보이나 봐 왜 나는 너인지 왜 하필 너인지 왜 너를 떠날 수가 없는지 I need you girl 왜 혼자 사랑하고 혼자서만 이별해 I need you girl 왜 다칠 걸 알면서 자꾸 니가 필요해 I need you girl 넌 아름다워 I need you girl 너무 차가워 I need you girl (I need you girl) I need you girl (I need you girl) Girl 차라리 차라리 헤어지자고 해줘 Girl 사랑이 사랑이 아니었다고 해줘 내겐 그럴 용기가 없어 내게 마지막 선물을 줘 더는 돌아갈 수 없도록 I need you girl 왜 혼자 사랑하고 혼자서만 이별해 I need you girl 왜 다칠 걸 알면서 자꾸 니가 필요해 I need you girl 넌 아름다워 I need you girl 너무 차가워 I need you girl (I need you girl) I need you girl (I need you girl)"
2015,방탄소년단,화양연화 pt.1,잡아줘 (Hold Me Tight),"Slow Rabbit,PDOGG,V,RM,SUGA,j-hope,김번창","술잔을 비우니 그리움이 차는구나 그냥 다 지고 볼 걸 왜 난 따지고 봤을까 길가에 버려진 쓰레기봉투까지도 바람에 쓸쓸한 소리를 내 나의 백지에 널 좀 덧칠했을 뿐인데 정신 차려보니 이미 한 폭의 그림이 돼 너와 난 핸드폰, 떨어지면 고장 날 걸 너도 알잖아 너의 체취만이 날 온전하게 해 어서 날 안아 오직 너 하나만 보여 나 오직 너 밖엔 안보여 봐 공정하지 공평하지 너한테 빼곤 다 이젠 단 하루도 너 없이는 Please 꽉 잡아줘 날 안아줘 Can you trust me, can you trust me, can you trust me 꽉 끌어안아줘 꽉 잡아줘 날 안아줘 Can you trust me, can you trust me 제발 제발 제발 끌어안아줘 여전히 너에게선 빛이나 여전히 향기 나는 꽃 같아 이제 나를 믿어줘 다시 나를 잡아줘 너를 느낄 수 있게 나를 끌어안아줘 너 없인 숨을 쉴 수 없어 난 너 없인 아무것도 아냐 난 닫힌 맘을 열어줘 내 심장을 적셔줘 너를 느낄 수 있게 나를 끌어안아줘 너의 품, 너의 온기, 너의 마음 다시 보고 싶다고 빌어 지금 이 순간 따스한 꽃 향기 바람도 구름 한 점 없이 맑은 저기 하늘도 다 모든 게 차갑고 저 맑은 하늘도 다 어두워 너 빼면 시체인 내가 무슨 숨을 쉬어 아파 나 항상 cry cry cry 나 미치고, 너 없이 지치고 니 생각 수시로 다 미 미워, 매일이 시 싫어 날 울려, 링딩동 기회가 있다면 널 (잡아) 나 달려, 시작해 (count down) 장미 같은 니 품에 찔릴 각오로 다시 널 안아 오직 너 하나만 보여 나 오직 너 밖엔 안보여 봐 공정하지 공평하지 너한테 빼곤 다 이젠 단 하루도 너 없이는 Please 꽉 잡아줘 날 안아줘 Can you trust me, can you trust me, can you trust me 꽉 끌어안아줘 꽉 잡아줘 날 안아줘 Can you trust me, can you trust me 제발 제발 제발 끌어안아줘 차가워진 니 표정이 말 대신 모든 걸 대변해 이별이 밀물처럼 내게 떠밀려오는 걸 대면해 곧 마지막이란 걸 알지만 널 놓아줄 수는 없는걸 말하지 마 떠나지 마 조용히 나를 안아줘 girl 날 잡아줘 날 안아줘 (꽉 안아줘) Trust me, trust me, trust me 꽉 잡아줘 날 안아줘 Can you trust me, can you trust me 제발 제발 제발 끌어안아줘 여전히 너에게선 빛이나 여전히 향기 나는 꽃 같아 이제 나를 믿어줘 다시 나를 잡아줘 너를 느낄 수 있게 나를 끌어안아줘"
2015,방탄소년단,화양연화 pt.1,SKIT : Expectation!,,"[랩몬스터] 일등 할수 있겠냐 [슈가] 아니 뭐 일등 그런거 떠나서 앨범 자체는 좋아 난 앨범 자체는 [랩몬스터] 난 이제 앨범에서 만족할 수 없다 일등해야 된다 이제 [진] 맞아 [제이홉] 야 근데 기대를 갖지마 [랩몬스터] 아냐 근데 아..근데 기대돼 어떡해 [뷔] 네 저도 기대... [지민] 맞아 그 전 어떤 생각을 해야 되는지 모르겠더라구여 아 그 성득쌤이 그때도 얘기했잖아요 막 막 너희들이 뭐 초심 뭐 어쩌고 저쩌고 얘기 했는데 되게 막 엄청 기대를 해야되는지 안해야되는지 되게 어떤 생각을 해야되는지 모르겠더라구요 [뷔] 솔직히.. [제이홉] 솔직히 나 지금 기대 안하고 있는데 [뷔] 솔직히 기대하지마 라고 해서 기대가 안되는게 아니잖아요 [진] 나 나도 기대를 갖게돼 그냥 [슈가] 내가 드는 걱정은 그거지 약간 진짜 기대를 했는데 안될까봐 나는 그게 인제 [제이홉] 아니 근데 되게 웃긴게 나는 진짜 기대를 안했던 곡들이 터져가지고 ..막 노몰드림도 별로 기대 안했어 진짜로 [슈가] 아냐 너 너 [랩몬스터] 넌 기대 하지마라 [슈가] 아냐 너 노몰드림은 느낌 왔다 그랬었어 [뷔] 촉이 왔다 했어 [제이홉] 뭐 촉이야 뭐 오긴.. 안올수가 없죠 뭐 뭐야 대충 잘되겠다 안되겠다 [랩몬스터] 뭐야아 [제이홉] 이런건 있긴 하는데 그렇게 큰 기대를 갖진 않았어요 그리고 엔오도.. [뷔] 엔오는 뭐... [랩몬스터] 엔오 되게 기대했구나 [제이홉] 어, 좋은 이미지가 있었으니까 기대를 기대를 했는데? 약간 그렇게 됐고 그리고 상남자도 전혀 기대안했어 [뷔] 촐싹 망해버렸지 [제이홉] 그냥 진짜 데인져때 내가 진짜 기대를 엄청 많이 했단 말이야 [진] 야 이번거 기대 하냐 그래서 [제이홉] 아 저 기대 안한다 했잖아요 [뷔] 좋았어 [진] 좋아 좋아 좋아 [랩몬스터] 너 방탄의 펠레구나 야 아예 폭삭 망할거라고 생각해라 [진] 그래 아예 그냥 [제이홉] 홀수로 나온 앨범들이 잘된다고잉 [정국] 근데 미성년자도 소득공제 돼여? [뷔] 뭐래 [진,랩몬스터] 아니 무슨 소리야 소득공제는 왜 갑자기 왜 왜나온거야 왜 [정국] 아이 이번에 아웃트로 [뷔] 야 나 싸비 썼어 [정국] 해가지고 [방탄] 으하핰ㅋㅋㅋㅋㅋㅋㅋ [랩몬스터] 아웃트로를 써가지고 이제 소득이 생겼다 이거야 [제이홉] 어린놈이 벌써 [진] 이 열아홉살이 벌써부터 이거이거 [랩몬스터] 본격적으로 저작권료를 먹겠다 이거구만 [정국] 이..이제 부모님한테 부모님에게 용돈 안받겠다고 .. [진] 야 이친구 이거 [랩몬스터] 잠깐만 소득공제를 왜 하려고 하는건데 [정국] 아니 아이 뭐 솔직히 상관없는데 [슈가] 뭐 버는게 있어야 소득공제를 하지 [정국] 솔직히 신경 안쓰는데 [슈가] 돈 십원도 못버는데 무슨소리야 [정국] 아빠 아빠랑 통화하다가 소득공제랑.. [랩몬스터] 아 이제 아웃트로 쓰니깐 소득공제 해야된대 아버지가? [정국] 아니 아니 [랩몬스터] 아버지가 그러셨어 아버지!!!!!! [슈가] 얼마 못벌어요 [랩몬스터] 정국이 아버지 [슈가] 얼마 못벌어"
2015,방탄소년단,화양연화 pt.1,쩔어,"Slow Rabbit,귓방망이,방시혁,SUGA,j-hope","어서 와 방탄은 처음이지? Ayo ladies & gentleman 준비가 됐다면 부를게 yeah! 딴 녀석들과는 다르게 내 스타일로 내 내 내 내 스타일로 에오! 밤새 일했지 everyday 니가 클럽에서 놀 때 yeah 자 놀라지 말고 들어 매일 I got a feel, I got a feel 난 좀 쩔어! 아 쩔어 쩔어 쩔어 우리 연습실 땀내 봐 쩌렁 쩌렁 쩌렁한 내 춤이 답해 모두 비실이 찌질이 찡찡이 띨띨이들 나랑은 상관이 없어 cuz 난 희망이 쩔어 haha Ok 우린 머리부터 발끝까지 전부 다 쩌 쩔어 하루의 절반을 작업에 쩌 쩔어 작업실에 쩔어 살어 청춘은 썩어가도 덕분에 모로 가도 달리는 성공가도 소녀들아 더 크게 소리질러 쩌 쩌렁 밤새 일했지 everyday 니가 클럽에서 놀 때 yeah 딴 녀석들과는 다르게 I don't wanna say yes I don't wanna say yes 소리쳐봐 all right 몸이 타버리도록 all night (all night) Cause we got fire (fire!) Higher (higher!) I gotta make it, I gotta make it 쩔어! 거부는 거부해 난 원래 너무해 모두 다 따라 해 쩔어 거부는 거부해 전부 나의 노예 모두 다 따라 해 쩔어 3포세대? 5포세대? 그럼 난 육포가 좋으니까 6포세대 언론과 어른들은 의지가 없다며 우릴 싹 주식처럼 매도해 왜 해보기도 전에 죽여 걔넨 enemy enemy enemy 왜 벌써부터 고개를 숙여 받아 energy energy energy 절대 마 포기 you know you not lonely 너와 내 새벽은 낮보다 예뻐 So can I get a little bit of hope? (yeah) 잠든 청춘을 깨워 go 밤새 일했지 everyday 니가 클럽에서 놀 때 yeah 딴 녀석들과는 다르게 I don't wanna say yes I don't wanna say yes 소리쳐봐 all right 몸이 타버리도록 all night (all night) Cause we got fire (fire!) Higher (higher!) I gotta make it, I gotta make it 쩔어! 거부는 거부해 난 원래 너무해 모두 다 따라 해 쩔어 거부는 거부해 전부 나의 노예 모두 다 따라 해 쩔어 이런 게 방탄 스타일 거짓말 wack들과는 달라 매일이 hustle life I gotta make it fire baby 이런 게 방탄 스타일 거짓말 wack들과는 달라 매일이 hustle life I gotta make it, I gotta make it 난 좀 쩔어! Say what! Say wo~ wo~ Say what! 쩔어"
2015,방탄소년단,화양연화 pt.1,흥탄소년단,"SUGA,PDOGG,방시혁,RM,j-hope,진,지민,V","자 왔어 아 흥탄소년단 왔어 왔어 아 흥탄소년단 자 왔어 아 흥탄소년단 흥 (흥) 탄 (탄) 흥 (흥) 탄 (탄) 나도 날 잘 몰라 자 왔어 아 흥탄소년단 왔어 왔어 아 흥탄소년단 자 왔어 아 흥탄소년단 흥 (흥) 탄 (탄) 흥 (흥) 탄 (탄) 흥탄소년단 새벽달이 질 때까지 아 완전 신나 가식 따윈 집에 간 지 오래니까 니가 음치 혹은 박치라도 상관없어 눈치 따윈 빨리 줘 개나 줘 흥이 난다 흥이 흥이 흥이 나 여기 여기 붙어라 니 어깨춤이 보인다 Let's ride go with me 저 위 정상들이 보이지 일상에 상을 하나 더해 난 이상해지지 정상인 상태로는 정상에 못 가요 baby 흥 흥, 시동은 됐고 흥 흥, 속도는 쾌속 다 봐라 봐라 오늘은 미칠 거야 말리지 말아 가라 가라 싫은 놈들 집으로 떠나라나라 (훠이) 음악이 흐르는 순간 난 미쳐버릴 것 같아 (hey) 내 몸에 흔들릴 거야 넌 지금 바로 이 순간 내게 묻지마 난 원래부터 이랬으니까 나도 날 몰라 처음부터 끝까지 난 나니까 Wo~ Wo~ Wo~ Wo~ Wo~ Wo~ Wo~ Wo~ 자 왔어 아 흥탄소년단 왔어 왔어 아 흥탄소년단 자 왔어 아 흥탄소년단 흥 (흥) 탄 (탄) 흥 (흥) 탄 (탄) 나도 날 잘 몰라 치명적인 나의 몸짓 미친듯한 나의 똘끼 내 맘대로 다 하고 싶어 나 건들지 좀 말어 난 맏형이지만 (no no no) 나를 갖고 놀지만 (no no no) 뭐 어때 난 좋게 만족해 족해 ok Yo! 내이름은 V 기선을 제압했지 야야야 stop stop! 다 골라 골라 호식이 골라 희망이 함께면 시간가는 줄을 몰라 땀으로 씻어볼까 치키차카초 오늘은 내가 술래 미니마니모 헛소리 하지마라 아 기 빨려 뒷담 할 생각도 마 나 눈치 빨러 너를 이빨로 물어 피 말려 밥 먹었니? 중국어로는 취빨러 마? 음악이 흐르는 순간 난 미쳐버릴 것 같아 (hey) 내 몸에 흔들릴 거야 넌 지금 바로 이 순간 내게 묻지마 난 원래부터 이랬으니까 나도 날 몰라 처음부터 끝까지 난 나니까 Wo~ Wo~ Wo~ Wo~ Wo~ Wo~ Wo~ Wo~ 흥 탄 사람 모여라 다 여기 모여라 흥 탄 사람 더 있나 다 뒤로 붙어라 흥 탄 사람 모여라 다 여기 모여라 흥 탄 사람 더 있나 다 뒤로 붙어라 내게 묻지마 난 원래부터 이랬으니까 나도 날 몰라 처음부터 끝까지 난 나니까 Wo~ Wo~ Wo~ Wo~ Wo~ Wo~ Wo~ Wo~ 자 왔어 아 흥탄소년단 왔어 왔어 아 흥탄소년단 자 왔어 아 흥탄소년단 흥 (흥) 탄 (탄) 흥 (흥) 탄 (탄) 나도 날 잘 몰라"
2015,방탄소년단,화양연화 pt.1,Converse High,"PDOGG,Slow Rabbit,RM,SUGA,j-hope",너의 컨버스하이 너의 컨버스하이 너의 컨버스하이 컨버스하이 너의 컨버스하이에 꽂혔나 봐 별 수 없나 봐 나는 wo~ 너의 컨버스하이에 꽂혔나 봐 너무 좋아 다 자꾸 wo~ 내게 하루만 시간이 있다면 난 컨버스하이 만든 사람을 만날 거야 그리곤 말하겠지 당신이 이 세상을 구했어 넌 저 여자들을 다시 태어나게 한 거야 F your Chanel F your Alexander Mcqueen F your Raf simons 일단 이리 와서 check it 10만원이면 두 켤레를 사 넌 내가 원하는 걸 알지 흰 티에 청 반바지 빨간 컨버스하이 that's it Alright 빨주노초파남보 니 발에 무지개는 shot like 람보 날 저격해 탕탕 shout out wow wow 니 몸매와 함께면 더 하악하악 컨 taxi 컨 cycle 컨 subway No thanks 난 컨 bus 타고 부릉부릉 저 하늘 별보단 오늘은 니 신발의 별을 볼래 하하 다 남준이 몰래 스치면 인연 스며들면 사랑 이라고 누가 말했었는데 넌 아예 내게 물들어버렸나 니가 좋아 그래도 컨버스로우는 신지 마 너의 컨버스하이에 꽂혔나 봐 별 수 없나 봐 나는 wo~ 너의 컨버스하이에 꽂혔나 봐 너무 좋아 다 자꾸 wo~ 너의 컨버스하이 I really really want yo 컨버스하이 I really really like yo 컨버스하이 I really really need yo 컨버스하이 컨버스하이 컨버스 컨버스 i really hate a 컨버스 화려한 니 겉모습에는 말야 검정스타킹에 아찔한 하이힐 그래 그것은 사기야 근데 더 어울리는 것은 조던 numbers Ha 모르겠니 컨버스는 니 매력을 죽이는 옥의 티 아무튼 날 만날 때는 컨버스를 신지마 무엇보다 벗기가 무척이나 힘들잖아 스치면 인연 스며들면 사랑 이라고 누가 말했었는데 넌 아예 내게 물들어버렸나 니가 좋아 그래도 컨버스로우는 신지 마 너의 컨버스하이에 꽂혔나 봐 별 수 없나 봐 나는 wo~ 너의 컨버스하이에 꽂혔나 봐 너무 좋아 다 자꾸 wo~ 너의 컨버스하이 I really really want yo 컨버스하이 I really really like yo 컨버스하이 I really really need yo 컨버스하이 컨버스하이 너의 컨버스하이 I really really want yo 컨버스하이 I really really like yo 컨버스하이 I really really need yo 컨버스하이 컨버스하이 Converse High
