가수,앨범,제목,발매일,작사가,가사,
레드벨벳,The Red - The 1st Album,Cool World,2015.09.09,임서현,잘 어울리는 옷을 꺼냈어 미리 정해 둔 약속 그런 건 없지만 이 밤이 아름다워서 세상의 소음들 잠시 닫을게 헤드폰을 끼고 얼음 입 안에 하나 물고 이 길을 나설 테니까 자유롭게 * 좀 다르게 느껴 좀 다르게 봐 사람들 속에 겉도는 듯해도 날 사랑해서 내가 나다워서 이 시간들이 더 아름다운 거야 ** Cool World Cool World 나만의 것 Cool World Cool World 나만의 꿈 Cool World Cool World 나만의 것 Cool World Cool World 아끼던 구두를 신을까 생각해 원하는 곳에 데려다 준다고 하잖아 오즈의 도로시처럼 나 세상의 시선들 잠시 가릴게 마음대로 꾸민 멋진 파티를 시작할래 맨 처음 널 초대할게 사실 말이야 좀 다르게 느껴 좀 다르게 봐 사람들 속에 겉도는 듯해도 날 사랑해서 내가 나다워서 이 시간들이 더 아름다운 거야 Cool World Cool World 나만의 것 Cool World Cool World 나만의 꿈 Cool World Cool World 나만의 것 Cool World Cool World 어디에서도 낯선 너라면 여기에 널 위한 자릴 비울게 만난 적 없었지만 아주 가까이 있다는 그런 느낌이 느껴지지 않니 나의 Cool World Cool World X2 좀 다르게 느껴 좀 다르게 봐 사람들 속에 겉도는 듯해도 날 사랑해서 내가 나다워서 이 시간들이 더 아름다운 거야 좀 다르게 느껴 좀 다르게 봐 더 다르단 건 특별한 거라고 날 사랑해서 내가 나다워서 난 최고의 친구가 돼 나에겐 Cool World Cool World 나만의 것 Cool World Cool World 나만의 꿈 Cool World Cool World 나만의 것 Cool World Cool World,
레드벨벳,?세가지 소원 (Wish Tree) - WINTER GARDEN,세가지 소원 (Wish Tree),2015.12.18,1월 8일,차가운 유리 창 너머 반짝인 불빛 시린 거리는 첫눈을 기다려 조금씩 또 조금씩 번져가는 기쁨 속에 울던 아이도 잠이 드는 밤 얼어붙은 저 나뭇가지 위로 한 송이 또 한 송이 내려 앉는 눈 꽃송이 그 아래 우리 둘 두 손 가만히 꼭 잡고 소원을 빌어봐요 첫 번째 소원 너와 나 오늘처럼 행복하길 두 번째 소원은 몇 번의 겨울 지나도 꼭 함께 이길 또 세 번째 소원은 지금 바란 모든 게 다 이뤄 지기를 산타를 만나기 위해 줄을 선 아이 반짝이는 눈빛 해맑은 미소 어리던 그 날엔 나도 그땐 그랬었지 향긋한 Gingerbread Christmas Tree 위에 작은 꽃눈이 뿜어내는 향기 그 안에 수줍게 꿈꾸는 봄 한 송이 그 아래 우리 둘 두 손 가만히 꼭 잡고 소원을 빌어봐요 내 첫 번째 소원 너와 나 오늘처럼 행복하길 두 번째 소원은 몇 번의 겨울 지나도 꼭 함께 이길 또 세 번째 소원은 지금 바란 모든 게 다 이뤄 지기를 천사가 내려와 내게 입맞춘 것 같아 눈꽃이 피어나요 Yeah 첫 번째 소원 너와 나 오늘처럼 행복하길 두 번째 소원은 몇 번의 겨울 지나도 꼭 함께 이길 또 세 번째 소원은 지금 바란 모든 게 다 이뤄 지기를,
레드벨벳,The Velvet - The 2nd Mini Album,7월 7일,2016.03.17,서지음,그냥 꿈에서 깬 것뿐이야 또 다시 까마득한 저 슬픈 별 하나 잘 가 서툴게 인사하고 뒤돌아서 오는 길은 참 멀기도 하다 같은 시간에 Just for a minute 같은 공간에 Stay for a minute 그 짧았던 순간 모든 게 너와 날 위해 멈춰있던 그 순간 왜 그게 기적인 걸 몰랐을까 오래된 Story와 그 날에 멈춘 나 사랑한 시간보다 더 오래 이별하는 중인걸 은하수 너머에 아득히 먼 곳에 하얀 우리의 기억을 건너는 나 꿈속이라도 괜찮으니까 우리 다시 만나 One Of These Nights 우리 다시 만나 One Of These Nights Oh 난 서둘러 잊지 못해 달력을 넘겨도 난 늘 제자리니까 너의 눈빛에 Just for a minute 스친 손끝에 Stay for a minute 그 짧았던 순간 모든 게 너와 날 위해 멈춰있던 그 순간 난 그 때 반짝이게 된 것 같아 오래된 Story와 그 날에 멈춘 나 사랑한 시간보다 더 오래 이별하는 중인걸 은하수 너머에 아득히 먼 곳에 하얀 우리의 기억을 건너는 나 꿈속이라도 괜찮으니까 Baby One of these days One of these years 기다림은 내겐 사소한 일일 뿐인 걸 오래된 Story와 그 날에 멈춘 나 사랑한 시간보다 더 오래 이별하는 중인걸 은하수 너머에 아득히 먼 곳에 하얀 우리의 기억을 건너는 나 꿈속이라도 괜찮으니까 우리 다시 만나 One Of These Nights 우리 다시 만나 One Of These Nights,
레드벨벳,The Velvet - The 2nd Mini Album,Cool Hot Sweet Love,2016.03.17,KENZIE,Cool Hot Sweet Love 너란 트랙 위 나를 얹을게 어떤 멜로디일지 상상을 해봐 단순할수록 더욱 아름다운데 손댈수록 원래의 빛을 잃어가 때론 초승달처럼 차가운 너를 안아 뜨겁게 차르르 녹이면 마침내 달디 단 네 안의 그것 심플하고 아름다운 그 맛 보겠지 그건 Cool Hot Sweet Love 우리만의 Cool Hot Sweet Sweet Love 하얀 날개 펼쳐 구름 위에 선 듯 아찔한 이토록 순수한 Emotion 그저 널 사랑하고 있어 노랗게 달을 채워 나도 따라 커져 마침내 우린 완전하게 돼 차갑고 뜨겁고 달아 우리만의 Cool Hot Sweet Love Co-Cool Ho-Hot Sweet Love Cool Cool Hot Hot Sweet Sweet Love Co-Cool Ho-Hot Sweet Love Cool Cool Hot Hot Sweet Sweet Love 아이스크림 위에 살짝 부어진 커피 순식간에 내 혀를 사로잡았어 사르르 녹으며 날 지배해 올 때 내가 정말 원한 것을 알았어 사랑은 복잡하지 않나 봐 아무 거짓말 없이 전부 다 표현할 때만 달디 단 네 안의 그것 심플하고 아름다운 그 맛 보겠지 그건 Cool Hot Sweet Love 우리만의 Cool Hot Sweet Sweet Love 하얀 날개 펼쳐 구름 위에 선 듯 아찔한 이토록 순수한 Emotion 그저 널 사랑하고 있어 파란색 네 숨결에 핑크빛 체온에 마침내 거절할 수 없게 돼 차갑고 뜨겁고 달아 우리만의 Cool Hot Sweet Love 상상도 못했겠지 내가 모든걸 던져 당신을 선택할 거란 걸 놀라지 마요 지금 시작된 거야 하얀 날개 펼쳐 구름 위에 선 듯 아찔한 이토록 순수한 Emotion 그저 널 사랑하고 있어 파란색 네 숨결에 핑크빛 체온에 마침내 거절할 수 없게 돼 차갑고 뜨겁고 달아 우리만의 Cool Hot Sweet Love We got a Co-Co-Cool Hot Sweet Love We got a Co-Co-Cool Hot Sweet Love We got a Co-Co-Cool Hot Sweet Love 노랗게 달을 채워 나도 따라 커져 마침내 우린 완전하게 돼 차갑고 뜨겁고 달아 우리만의 Cool Hot Sweet Love Co-Cool Ho-Hot Sweet Love Cool Cool Hot Hot Sweet Sweet Love Co-Cool Ho-Hot Sweet Love Cool Cool Hot Hot Sweet Sweet Love,
레드벨벳,The Velvet - The 2nd Mini Album,Light Me Up,2016.03.17,KENZIE,Tonight I wanna light up the world between you and me All I wanna do 눈을 뜬 것 같아 구름이 걷히고 해님이 뜬 거죠 그대가 나를 깨워 작은 내 불을 밝혀 환하게 했어요 So 한 걸음 내디뎌 볼게 가까이 더 갈게 그림자는 지워 버릴게 Ooh Ah Come here boy Wanna talk to you 우린 서로를 더 알아야 해요 서로 고백해요 I'm in love Ooh boy Come and Light Me Up 캄캄한 세상을 밝혀줘 Light me Light me 자 손을 잡아 줘 Ooh boy 커질수록 더 환히 빛난 사랑의 빛이죠 영원하길 원해 빛은 커져가 새벽처럼 와 어두웠던 밤 한 순간 사라지니 Oh 난 뭐가 두려울까요 원하고 가졌죠 이 순간을 Light Me Up 난 보았죠 눈 앞에 쏟아지는 빛을 사랑에 빠진 눈에 우리가 비쳐요 너무 아름답죠 So 한 걸음 내디뎌 볼게 가까이 더 갈게 그림자는 지워 버릴게 Ooh Ah Come here boy Wanna talk to you 우린 서로를 더 알아야 해요 서로 고백해요 I'm in love I'm in love 매일 더 많은 얘길 듣고 싶어요 서로 나누는 거에요 또 나의 얘기도 Ooh boy Come and Light Me Up 캄캄한 세상을 밝혀줘 Light me Light me 자 손을 잡아 줘 Ooh boy 커질수록 더 환히 빛난 사랑의 빛이죠 영원하길 원해 빛은 커져가 새벽처럼 와 어두웠던 밤 한 순간 사라지니 Oh 난 뭐가 두려울까요 원하고 가졌죠 이 순간을 Light Me Up 날 외롭게 눈물도 흘리게 말아요 이 불빛에 내 전부를 태워버린걸요 You make me so crazy 난 조금 어지러워져 꼭 안아요 Ooh boy Come and Light Me Up 캄캄한 세상을 밝혀줘 Light me Light me 자 손을 잡아 줘 Ooh boy 커질수록 더 환히 빛난 사랑의 빛이죠 영원하길 원해 빛은 커져가 새벽처럼 와 어두웠던 밤 한 순간 사라지니 Oh 난 뭐가 두려울까요 원하고 가졌죠 이 순간을 Light Me Up 영원히 켜 둘게요 Light Me Up,
레드벨벳,The Velvet - The 2nd Mini Album,처음인가요 (First Time),2016.03.17,KENZIE,"정말 몰라 이렇게 설레 까만 밤을 하얗게 지샌 적은 첨이죠 손잡고 걸어요 Under the starry sky 아무리 봐도 부족해 아침 눈 뜰 때 내 생각하나요 좋은 걸 보면 나를 떠올리나요 나처럼 문득 혼자 웃나요 말해줘요 처음인가요 나만큼요 빠진 거 맞죠 다 알고 싶어요 내 맘이 그대보다 깊은 건 아닌지 바보처럼요 매일 배워요 조금씩 서로를 알게 되고 기쁨들이 늘었죠 Oh 사랑인가요 눈 보고 말할 때 난 너무 솔직해져요 아이가 돼 버리죠 예뻐져요 매일이 새로워 한 번도 이런 적은 없었던걸요 그대의 매일도 이런가요 말해줘요 처음인가요 나만큼요 빠진 거 맞죠 다 알고 싶어요 내 맘이 그대보다 깊은 건 아닌지 바보처럼요 우린 결국 하나죠 Somehow, in someway 처음이길 또 끝이기를 원해 완전할 순 없죠 반쪽처럼요 서로를 채워요 가득히 말해줘요 처음인가요 나만큼요 빠진 거 맞죠 다 알고 싶어요 내 맘이 그대보다 깊은 건 아닌지 바보처럼요 Today I realized how much I really love you for the First Time",
레드벨벳,The Velvet - The 2nd Mini Album,장미꽃 향기는 바람에 날리고 (Rose Scent Breeze),2016.03.17,정혜경,더 이상 아무 말도 못하고 눈을 감고 있지만 눈을 떠 바라보며 울기엔 너무 진한 아픔이라고 지난날 그 약속 이제는 추억이라 말하며 그렇게 싸늘한 미소로 내 곁을 멀어져 갈 때 장미꽃 향기는 바람에 날리고 서러운 한숨도 허공에 흩어져 잡을 수 없네 그대의 멀어지는 모습 그대로 더 이상 잡을 수 없네 지난날 그 약속 이제는 추억이라 말하며 그렇게 싸늘한 미소로 내 곁을 멀어져 갈 때 장미꽃 향기는 바람에 날리고 서러운 한숨도 허공에 흩어져 잡을 수 없네 그대의 멀어지는 모습 그대로 더 이상 잡을 수 없네 텅 빈 나의 맘속은 그대만을 원하죠 장미꽃 향기는 바람에 날리고 서러운 한숨도 허공에 흩어져 잡을 수 없네 그대의 멀어지는 모습 그대로 더 이상 잡을 수 없네 더 이상 잡을 수 없네,
레드벨벳,Russian Roulette - The 3rd Mini Album,러시안 룰렛 (Russian Roulette),2016.09.07.,조윤경,La-La-La-La-La-- 날카로운 Secret 둘러싼 얘긴 베일 속에 점점 더 깊은 H-H-Hush 맘을 겨눠 이제 여긴 온통 어두운 밤 하늘색 그림자조차 길을 잃게 해 Oh 넌 항상 Love is game 쉽게 즐기는 가벼움일 뿐이라고 뭐 이렇게 못된 얘기로 자꾸 피해 가려고만 하니 왜 커지는 Heart B-B-Beat 빨라지는데 너답지 않게 Heart B-B-B-Beat 거려 나를 볼 때 마지막 남은 순간까지 점점 다가오지 Crazy 아찔하게 겨눈 러시안 룰렛 Ah-Ah-Ah-Yeah La-La-La-La-La-- Heart B-B-B-Beat 넌 이미 마지막 남은 순간까지 내게 맡기게 될 거야 넌 달콤한 너의 러시안 룰렛 반짝인 Secret 더 이상 외면하진 못 해 버튼은 내가 P-P-Push 받아들여 이제 네 맘 온통 내 모습 채워지게 꿈 꿀 때조차 나를 찾게 돼 Oh 아직 넌 Love is game 내게 말해도 흔들려 네 목소리도 장난스레 스친 눈빛 너머로 어쩔 줄 모르는 네 모습 커지는 Heart B-B-Beat 빨라지는데 너답지 않게 Heart B-B-B-Beat 거려 나를 볼 때 마지막 남은 순간까지 점점 다가오지 Crazy 아찔하게 겨눈 러시안 룰렛 Ah-Ah-Ah-Yeah La-La-La-La-La-- Heart B-B-B-Beat 넌 이미 마지막 남은 순간까지 내게 맡기게 될 거야 넌 달콤한 너의 러시안 룰렛 이토록 깊은 꿈이 넌 처음일 걸 내 맘이 이 밤이 아른거리는 Game You can’t control 커지는 Heart B-B-Beat 빨라지는데 터질듯한 Heart B-B-B-Beat Key는 내가 쥘게 마지막 남은 순간까지 점점 다가오지 Crazy 아찔하게 겨눈 러시안 룰렛 Ah-Ah-Ah-Yeah La-La-La-La-La-- Heart B-B-B-Beat 넌 이미 마침내 빼낼 수도 없게 박혀 네 심장 더 깊은 곳 달콤한 너의 러시안 룰렛 커지는 Heart B-B-Beat 빨라지는데 La-La-La-La-La-- 커지는 Heart B-B-Beat 빨라지는데 La-La-La-La-La-- Heart B-B-B-Beat,
레드벨벳,Russian Roulette - The 3rd Mini Album,Lucky Girl,2016.09.07.,KENZIE,"Mm-Bob-Bob 무슨 얘길 할까 Mm-Bob-Bob 넌 무뚝뚝해 Mm-Bob-Bob Enjoy the show 나 속으로만 세어댔지 1 2 3 또 반응 없는 너를 보면 Down 자꾸 이럴 거면 나도 지치지 Mm-Ba-Ra-Bob-Bob Mm-Ba-Ra-Bob Hey 차갑기만 한 너 친구들 그만두라고 네 곁에 밤새 있고 싶어 솔직히 Sssh- Wait, Listen! 난 너의 행운 난 그대의 Honeydew Boy I won't let you go All I wanna do is be your girl 너의 Lucky Girl 너의 인생을 바꿔줄게요 그런 느낌이 왔어 Lucky Girl (Lucky Girl) Lucky Girl Lu-Lucky Girl 사실 너란 아이 참 따뜻한 아이지 겉으론 관심 없는 척 날 챙겨줬잖아 이젠 다른 날을 세자 1, 2, 3 오늘부터 우리 둘이 많이 사랑해요 이런 말도 해 Give me Give me Give me X2 Hey 시간이 없어요 더는 망설이지 말고 네 곁에 밤새 있고 싶어 솔직히 있고 싶어 솔직히 난 너의 행운 난 그대의 Honeydew Boy I won't let you go All I wanna do is be your girl 너의 Lucky Girl 너의 인생을 바꿔줄게요 그런 느낌이 왔어 Lucky Girl (Lucky Girl) Lucky Girl Lu-Lucky Girl Lucky Girl I'll be your I'll be your Lucky Girl 난 너의 행운 난 그대의 Honeydew Boy I won't let you go All I wanna do is be your girl 너의 Lucky Girl 너의 인생을 바꿔줄게요 그런 느낌이 왔어 나를 잡아요 맘이 말하고 있어 잘 될 거야 다 그런 느낌이 왔어 Lucky Girl Lu-Lucky Girl",
레드벨벳,Russian Roulette - The 3rd Mini Album,Bad Dracula,2016.09.07.,조윤경,보름달 아래 날 마주치면 딱 알아봐 놀래 킬 생각은 전혀 없어 없어 Baby 오늘 밤 다가가 살짝 말을 걸어볼까 다치게 하는 일 절대 난 없어 없어 Baby 엄만 날 Bad Dracula (Yes I am) 라며 더 무섭게 해라 (Yeah I know I know) 근데 난 조금 달라 (Ha!) Oh- 난 달라 랄랄라 Bad Dracula 매일 랄랄라 Yeah 빨간 건 케찹 몰래 마차 타고 나가 사람들 속에 숨어 Party night 랄랄라 Bad Dracula 춤을 랄랄라 Yeah 그의 맘 Get ya 먼저 살짝 안기는 난 그 사람 품에 숨어 Party night 나두 알아 알아 사실 난 Bad Dracula 오늘까지만 오늘 하루만 더 만나고 싶어 소녀같이 난 좋아했다고 첫사랑의 고백 아빤 날 Bad Dracula (Yes I am) 라며 더 차갑게 해라 (Yeah I know I know) 그러다 진짜 탈 나 (Ha!) Oh- 난 달라 랄랄라 Bad Dracula 매일 랄랄라 Yeah 빨간 건 케찹 몰래 마차 타고 나가 사람들 속에 숨어 Party night 랄랄라 Bad Dracula 춤을 랄랄라 Yeah 그의 맘 Get ya 먼저 살짝 안기는 난 그 사람 품에 숨어 Party night 그의 멋진 뒷모습에 반한 채 사람들 속에 I just wanna dance 달에 비친 뒷얘기는 모른 체 그의 품 속에 I just wanna dance 사실 난 난 난 Bad Dracula 랄랄라 Yeah 편견을 깨줘 겁내지 마 이렇게 난 즐기고 싶을 뿐이야 Party night 랄랄라 Bad Dracula 춤을 랄랄라 Yeah 그의 맘 Get ya 먼저 살짝 안기는 난 그 사람 품에 숨어 Party night 그의 멋진 뒷모습에 반한 채 사람들 속에 I just wanna dance 달에 비친 뒷얘기는 모른 체 그의 품 속에 I just wanna dance,
레드벨벳,Russian Roulette - The 3rd Mini Album,Sunny Afternoon,2016.09.07.,정주희 (Jam Factory),오늘 같은 달콤한 날에는 그리는 어디든 좋아 Sunny Afternoon Afternoon 내 안에 온 파도 너를 닮은 온도 모두 완벽한 거야 또 너라서 난 잊지 못할 Sunny Sunny Afternoon 멀리 갈 필요 없어 Yeah 눈을 감고 느끼면 저 파란 하늘에 시원한 바람에 난 누구보다 기분 좋은 걸 노랑 나른한 햇살 느릿하게 기댄 내 맘속 불어오는 향기 가득한 오후 그리고 또 하나 항상 내 곁엔 네가 함께 있어 Ooh 오늘 같은 달콤한 날에는 그리는 어디든 좋아 Sunny Afternoon Afternoon 내 안에 온 파도 너를 닮은 온도 모두 완벽한 거야 또 너라서 난 잊지 못할 Sunny Sunny Afternoon 나 이래도 되니 상상보다 좀 더 많이 설렘 떨림 두근거림 자꾸 왜 이래 맘이 특별한 오늘 네가 선물해 너라서 그래 우리 사인 Sunny day 저 넓은 품 속에 싱그런 미소에 넌 누구보다 눈이 부신 걸 살랑 불어오는 숨 아른하게 펼쳐진 꿈속 늘어지는 잎에 몰래 감춰둔 마음엔 단 하나 항상 소중한 네가 함께 있어 Ooh 오늘 같은 달콤한 날에는 그리는 어디든 좋아 Sunny Afternoon Afternoon 내 안에 온 파도 너를 닮은 온도 모두 완벽한 거야 또 너라서 난 잊지 못할 Sunny Sunny Afternoon 특별한 거 없이도 함께라는 것만으로 Special 지금 이 순간을 언제나 안고서 매일을 물들일 거야 귓가에는 달콤한 목소리 둘만 아는 Story 너와 나의 Afternoon Afternoon 눈 속에 빛나는 바다를 담은 너는 내게 완벽한 거야 꼭 이대로만 있고 싶은 Sunny Sunny 오늘 같은 달콤한 날에는 그리는 어디든 좋아 Sunny Afternoon Afternoon 내 안에 온 파도 너를 닮은 온도 모두 완벽한 거야 또 너라서 난 잊지 못할 Sunny Sunny Sunny Sunny Afternoon,
레드벨벳,Russian Roulette - The 3rd Mini Album,Fool,2016.09.07.,1월 8일,뭔가 잘 될 것만 같은 걸 눈빛이 통해 대화도 통해 잘 어울려 (그래 이건 틀림없어) 마치 생일 전 날 밤처럼 떨리는 느낌 연애 세포가 깨어났어 그래서 난 이상해 괜히 뒤척이고 잠이 안 와 왜 이렇게 들뜬 거야 나 왜 또 이러니 혼자 배시시 Fool Fool 왜 또 발걸음이 혼자 춤추니 Fool Fool 나 혼자 시소를 탄 것처럼 신나 해 혼자만의 세상 속에 빠져있네 꿈일 거야 내 두 볼을 꼬집어 아파 Fool 뭔가 잘못될 것 만 같아 (아니 이럴 리가 없어) 집중이 안 돼 맘대로 안 돼 네 생각에 그런데 또 이상해 네 전화에 또 웃고 있어 너무 깊이 빠졌나 봐 나 왜 또 이러니 혼자 배시시 Fool Fool 나 왜 또 두 볼이 온통 핑크 빛 Fool Fool 나 혼자 시소를 탄 것처럼 신나 해 혼자만의 세상 속에 빠져있네 꿈일 거야 내 두 볼을 꼬집어 아파 Fool 또 좋아하다가 또 망설이다가 바보처럼 반복해 네가 내 맘을 어질러도 웃잖아 나 왜 또 이러니 혼자 배시시 Fool Fool 왜 또 발걸음이 혼자 춤추니 Fool Fool 나 혼자 시소를 탄 것처럼 신나 해 혼자만의 세상 속에 빠져있네 꿈일 거야 내 두 볼을 꼬집어 아파 Fool 근데 너도 왠지 이상해 나를 또 보지 자꾸만 웃지 꼭 나처럼,
레드벨벳,Russian Roulette - The 3rd Mini Album,Some Love,2016.09.07.,KENZIE,넌 쉽게도 말해 헤어지며 See ya See ya 이젠 점점 화가 나 또 이래 Call me Call me Call 아무렇지 않게 어깨 으쓱 얄미워져 나만 네가 아쉽니 혼자 이러는 거니 한번 툭 털고 말해 I don't mind 알잖아 Just let me love ya 너도 솔직해지길 우리 특별해지길 You're the hottest 자 그만 너의 맘 보여 줘 Just Give me Give me Give me Some Love Some Just Give me Give me Give me Some Love More 어떤 사랑을 원해? 눈앞에 내가 있잖니 Just Give me Give me Give me Some Love Just a little bit little bit harder Just a little bit little bit harder 나도 첨엔 무심했지 이젠 미안 미안 내가 먼저 변할게 기분이 꽁기꽁기해 우린 왜 이렇게 엇갈리니 속상해져 한 걸음 앞서가면 누가 지는 거니 그런 게 아니잖아 아마도 다칠까 두려운 거야 너도 솔직해지길 우리 특별해지길 You're the hottest 자 그만 너의 맘 보여 줘 Just Give me Give me Give me Some Love Some Just Give me Give me Give me Some Love More 어떤 사랑을 원해? 눈앞에 내가 있잖니 Just Give me Give me Give me Some Love 오늘부터야 Boy you g-g-gotta love me 꼭 껴안자 For the first time 난 네 거라고 크게 마-마-말하고 싶어 서로의 맘을 열자 Just a little bit little bit harder Just a little bit little bit harder Just Give me Give me Give me Some Love Some Just Give me Give me Give me Some Love More 어떤 사랑을 원해? 눈앞에 내가 있잖니 Just Give me Give me Give me Some Love Just a little bit little bit harder Just a little bit little bit harder,
레드벨벳,Russian Roulette - The 3rd Mini Album,My Dear,2016.09.07.,황현 (MonoTree),"My Dear, My Love, My Best 지금 아주 먼 곳에 있다 해도 우린 이어진 마음으로 오직 사랑하는 사람들만 들리는 둘만의 언어로 말하고 싶어 하늘보다 높이 빛보다 멀리 바람소리보다 빨리 너에게 닿기를 어제보다 더욱 커진 맘을 전부 전해주고 싶어 널 보고 싶어 My Dear, My Love, My Best 이 순간 느끼는 전부를 모아둘게 My Dear, My Love, My Best 이 세상 단 한 사람 너를 위해 My Dear, My Love, My Best 아주 오랜 시간이 지난 후에 우리 흔적도 지워질 때쯤 이곳이 아닌 어딘가에서 만나도 오늘 이 기분은 잃지 않을게 하늘보다 높이 빛보다 멀리 바람소리보다 빨리 너에게 닿기를 어제보다 더욱 커진 맘을 전부 전해주고 싶어 널 보고 싶어 My Dear, My Love, My Best 이 순간 느끼는 전부를 모아둘게 My Dear, My Love, My Best 이 세상 단 한 사람 너를 위해 찰나의 느낌이 모여 그려진 너와 나의 추억 한 줄 겹겹이 쌓여 만들어진 우리만의 Space 처음 내게 말했던 너의 꿈 그 크기 그대로 세상에 억눌려 작아지지 않기로 약속해 사랑한단 말보다 너의 맘의 크기만큼 나를 안아줘요 내일이면 더욱 커질 맘을 우리 마주한 그날 보여주고 싶어 My Dear, My Love, My Best 이 순간 느끼는 전부를 모아둘게 My Dear, My Love, My Best 이 세상 단 한 사람 너를 위해 하늘보다 높이 빛보다 멀리 바람소리보다 빨리 너에게 닿기를 It’s you My Dear",
레드벨벳,Rookie - The 4th Mini Album,Rookie,2017.02.01.,조윤경,"Yeah alright 1, 2 당당히 넌 고개를 들고 나를 봐 역시 Rookie rookie my super rookie rookie boy 좋아 볼 때마다 진짜 넌 내 Type 역시 Rookie rookie my super rookie rookie boy ha! 이토록 거센 존재감 난 이미 혹시나 하는 작은 의심조차 못 해 즐기는 척 하하 난 웃어 봐 애써 말투까지 네 앞에선 마치 Ice같지 불쑥 들어와 넌 벌써 날 벌써 날 위태롭게 더 홀려 놔 홀려 놔 낯선 너의 번호까지 한번에 난 외워버린 거야 Why? 자꾸만 왜 날 왜 날 흔들까 넌 바짝 다가와 그래 옳지 옳지 Boy ha! Rookie rookie my super rookie rookie rookie 맞지 맞지 그 느낌적인 느낌 느낌 Rookie rookie my super rookie rookie rookie 맞지 맞지 그 느낌적인 느낌 느낌 역시 넌 Nice하게 더 다가오잖아 멋진 Rookie rookie my super rookie rookie boy 좋아질 때마다 짜릿한 My heart 멋진 Rookie rookie my super rookie rookie boy ha! 딴 남자 볼 땐 웃지 좀 마 이미 넌 마치 남자친구처럼 슬쩍 화내지 아침엔 날 매일 데리러 와 Baby 날 뺏길까 봐 하루 종일 경계해 Baby yeah I like it 날카로워진 네 눈빛 아직까진 특별할 게 없는 우리 언제까지 기다리게 할 거니 좀 더 바짝 다가와 그래 옳지 옳지 Boy ha! 불쑥 들어와 넌 벌써 날 벌써 날 위태롭게 더 홀려 놔 홀려 놔 낯선 너의 번호까지 한번에 난 외워버린 거야 Why? 자꾸만 왜 날 왜 날 흔들까 넌 바짝 다가와 그래 옳지 옳지 Boy ha! Rookie rookie my super rookie rookie rookie 맞지 맞지 그 느낌적인 느낌 느낌 Rookie rookie my super rookie rookie rookie 맞지 맞지 그 느낌적인 느낌 느낌 괜히 겁이 나 내 맘 뺏긴 만큼 차가워진 척해 넌 불안해하지만 Uh 감추려 해도 이미 넌 내 마음속의 별이야 자꾸 더 반짝여 이젠 네 모든 게 Yeah Rookie rookie 넌 나의 rookie rookie rookie Rookie rookie 넌 나의 rookie rookie rookie Rookie rookie 넌 나의 rookie rookie rookie Rookie rookie 넌 나의 rookie rookie rookie Rookie rookie my super rookie rookie rookie 맞지 맞지 그 느낌적인 느낌 느낌 Rookie rookie my super rookie rookie rookie 맞지 맞지 그 느낌적인 느낌 느낌",
레드벨벳,Rookie - The 4th Mini Album,Little Little,2017.02.01.,"제이큐 (JQ),조미양,박성희",자꾸 두근대는 맘들이 들릴까 봐 널 피했는데 보고 싶은 건 숨길 수가 없네 내 머리 속에 Diary 어느 페이질 펼쳐보아도 너뿐인 건 나만 아는 Secret 하나씩 네 모든 게 내 안에 쌓여갈 때 왠지 맘은 더 바빠 Oh 까맣던 밤 모르게 하늘에 반짝인 걸 난 네 생각에 잠 못자 Oh Give a little little more love Give a little little more time 너의 작고 작은 것도 내게는 커다란 걸 볼엔 하늘하늘 바람 너로 일렁이는 내 맘 자꾸 살랑살랑 불어 내 세상을 흔들어 넌 이 맘은 아마 Love love love 두 눈이 스친 그 감각 맘이 온통 핑크빛으로 물이 들어 온몸을 적셔 Yeah 넘칠 듯 내 맘 차올라 너만 보면 손끝까지 다 사랑스런 빛을 내는 걸 다정한 네 버릇도 당황한 네 말투도 외워버린 듯 맴돌아 Oh 가끔씩 날 놀릴 때 가까이 다가오면 나 숨도 쉴 수 없잖아 Oh Give a little little more love Give a little little more time 너의 작고 작은 것도 내게는 커다란 걸 볼엔 하늘하늘 바람 너로 일렁이는 내 맘 자꾸 살랑살랑 불어 내 세상을 흔들어 넌 이 맘은 아마 Love love 살며시 닿은 시선이 깊어져 머무를 때 이대로 By my side 너란 조각 하나 내게 와 전부가 돼 내겐 Oh Need a little little Give a little little Make a little little 조금씩 만들어 가 Give a little little more love Give a little little more time 너의 작고 작은 것도 내게는 커다란 걸 볼엔 하늘하늘 바람 너로 일렁이는 내 맘 자꾸 살랑살랑 불어 내 세상을 흔들어 넌 Give a little little more love Give a little little more time 아주 소근소근 말해 너만 들을 수 있게 좀 더 가까워진 거리 계속 함께하고 싶어 짧은 일분일초까지 너로만 채우고 싶어 이 맘은 분명 Love,
